image,ground_truth,prediction,CER_score
test048_2.jpg,W1838AY,W1838AY,0.00%
test049_1.jpg,N1376DE,N1376DE,0.00%
test049_2.jpg,N79AP,79AP,20.00%
test050_1.jpg,L1265OF,L1265OF,0.00%
test050_2.jpg,N1095G,1095G,16.67%
test051_1.jpg,N1718HC,N1718HC,0.00%
test052_1.jpg,N6497KS,6497KS,14.29%
test052_2.jpg,N5235ABX,5235ABX,12.50%
test052_3.jpg,N4980KJ,N4980KJ,0.00%
test053_1.jpg,N1365AAO,N1365AA0,12.50%
test054_1.jpg,N1077AAK,N1077AAK,0.00%
test054_2.jpg,N1084AAO,N1084AA0,12.50%
test055_1.jpg,N1610KS,N1610KS,0.00%
test056_1.jpg,N924CIA,924CIA,14.29%
test056_2.jpg,N1623HB,N1623HB,0.00%
test056_3.jpg,L1430HF,LF1430HF,14.29%
test057_1.jpg,N1342T,N1342T,0.00%
test057_2.jpg,N4145AB,4145AB,14.29%
test057_3.jpg,N1396AAH,N1396AAH,0.00%
test058_1.jpg,N3153ACB,N3153ACB,0.00%
test058_2.jpg,N5829KJ,5829KJ,14.29%
test058_3.jpg,N1780JL,N1780JL,0.00%
test059_1.jpg,W8774PA,W8774PA,0.00%
test059_2.jpg,B9162FXU,B9162FXU,0.00%
test060_1.jpg,L1846JE,L1846JE,0.00%
test060_2.jpg,M1457ITA,M1457ITA,0.00%
test061_1.jpg,AA1971KJ,AA1971KJ,0.00%
test061_2.jpg,BD1146DH,BD1146DH,0.00%
test062_1.jpg,B9654PEU,B'9654PEU,12.50%
test062_2.jpg,AE7244S,AE7244S,0.00%
test063_1.jpg,S1208BI,S1208BI,0.00%
test064_1.jpg,AE8137G,AE8137G,0.00%
test065_1.jpg,H1706SW,H1706SW,0.00%
test066_1.jpg,T1220HS,T1220,28.57%
test066_2.jpg,H1790ZY,H1790ZY,0.00%
test067_1.jpg,L1855BR,1855BR,14.29%
test067_2.jpg,AB1274EV,AB1274EV,0.00%
test068_1.jpg,B2310UZS,B2310UZS,0.00%
test068_2.jpg,G1264CM,G1264CM,0.00%
test069_1.jpg,AA1138AK,AA1138AK,0.00%
test070_1.jpg,B2160TOB,B2160TOB,0.00%
test070_2.jpg,B2597BYK,B2597BYK,0.00%
test071_1.jpg,G9545AG,G9545AG,0.00%
test072_1.jpg,BG1870IB,BG1870IB,0.00%
test073_1.jpg,T1187HB,1187HB,14.29%
test073_2.jpg,A1330FP,A1330FP,0.00%
test074_1.jpg,G1368GE,G1368GE,0.00%
test074_2.jpg,B1081CMR,B.1081CMR,12.50%
test075_1.jpg,G2474XZ,62474XZ,14.29%
test075_2.jpg,G9173BP,G9173BP,0.00%
test075_3.jpg,7066OF,7066DF,16.67%
test076_1.jpg,G2151ASF,G2151ASF,0.00%
test076_2.jpg,E500MA,E500MA,0.00%
test076_3.jpg,G4689SN,G4689SN,0.00%
test077_1.jpg,G1754QZ,G1754OZ,14.29%
test078_1.jpg,H1413DH,H1413DH,0.00%
test079_1.jpg,T1688GY,T1688GY,0.00%
test079_2.jpg,A1260AJ,A126CAJ,14.29%
test080_1.jpg,D77HSB,D77HSB,0.00%
test080_2.jpg,B1861TOI,B1061TOI,12.50%
test080_3.jpg,D1160ADE,D1160ADE,0.00%
test081_1.jpg,F8097BD,8097BD,14.29%
test081_2.jpg,F1992AM,F'1992AN,28.57%
test082_1.jpg,E1824YZ,E1824YZ,0.00%
test082_2.jpg,B9093UEX,B'9093UEX,12.50%
test083_1.jpg,F5052AAE,F5052AAE,0.00%
test083_2.jpg,F5452CQ,F5452CO,14.29%
test084_1.jpg,B1158PYP,B1158PYP,0.00%
test084_2.jpg,B1242VOY,B1242VOY,0.00%
test085_1.jpg,B1315KIF,B1315KIF,0.00%
test085_2.jpg,B2938FVJ,B2938FVJ,0.00%
test085_3.jpg,B2560SKZ,B2560SKZ,0.00%
test086_1.jpg,B1291NOJ,B1291N0J,12.50%
test086_2.jpg,B1556NRC,B1556NRC,0.00%
test087_1.jpg,B6823WXR,B6823WXR,0.00%
test087_2.jpg,B6317NXK,B6317NXK,0.00%
test087_3.jpg,F2215FCQ,F2215FC0,12.50%
test087_4.jpg,4039NHR,4039NHR,0.00%
test088_1.jpg,B2190TYB,B2190TYB,0.00%
test088_2.jpg,B1902VKA,B1902VKA,0.00%
test089_1.jpg,D8609N,D8609,16.67%
test089_2.jpg,A8406ZE,A.8406.ZEG828,85.71%
test089_3.jpg,B1246KRK,B1246KRK,0.00%
test090_1.jpg,T9314E,T9314E,0.00%
test090_2.jpg,N9579U,N579,33.33%
test091_1.jpg,B2910KZW,B2910KZW,0.00%
test091_2.jpg,B9721KXV,B9721KXV,0.00%
test092_1.jpg,B1104AAA,B1104AAA,0.00%
test092_2.jpg,T1579FN,T'1579FN,14.29%
test092_3.jpg,B2346POC,B2346P0C,12.50%
test093_1.jpg,B2026BIU,B2026BIU,0.00%
test094_1.jpg,G1255EJ,G1255EJ,0.00%
test095_1.jpg,B1201KAD,B1201KAD,0.00%
test095_2.jpg,B2310JUK,B2310JUK,0.00%
test095_3.jpg,B28YHH,B28YHH,0.00%
test096_1.jpg,B1354COJ,B1354COJ,0.00%
test096_2.jpg,B1502NRO,B1502NRO,0.00%
test097_1.jpg,B1650NOG,B1650N0G,12.50%
test097_2.jpg,B6354SVL,B6354SVL,0.00%
test098_1.jpg,B1779DOB,B1779DOB,0.00%
test099_1.jpg,B2017PBQ,B2017PBQ,0.00%
test099_2.jpg,B1892WZT,B1892WZT,0.00%
test100_1.jpg,B1071PRG,B1071PRG,0.00%
test100_2.jpg,B2134PZJ,B2134PZJ,0.00%
